Model,DPO3034
Firmware Version,2.16

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.002,
Sample Interval,2e-05,
Record Length,1000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.5,0.05
Label,,
TIME,CH1,CH2
5.860e-03,1.22,0.176
5.880e-03,1.22,0.184
5.900e-03,1.22,0.186
5.920e-03,1.24,0.184
5.940e-03,1.22,0.186
5.960e-03,1.24,0.196
5.980e-03,1.2,0.184
6.000e-03,1.22,0.196
6.020e-03,1.24,0.19
6.040e-03,1.24,0.19
6.060e-03,1.22,0.18
6.080e-03,1.22,0.184
6.100e-03,1.2,0.186
6.120e-03,1.24,0.186
6.140e-03,1.22,0.196
6.160e-03,1.24,0.2
6.180e-03,1.2,0.18
6.200e-03,1.24,0.212
6.220e-03,1.2,0.184
6.240e-03,1.22,0.176
6.260e-03,1.22,0.186
6.280e-03,1.24,0.144
6.300e-03,1.22,0.184
6.320e-03,1.2,0.172
6.340e-03,1.22,0.184
6.360e-03,1.22,0.158
6.380e-03,1.2,0.182
6.400e-03,1.2,0.188
6.420e-03,1.24,0.21
6.440e-03,1.22,0.174
6.460e-03,1.26,0.186
6.480e-03,1.24,0.194
6.500e-03,1.22,0.18
6.520e-03,1.24,0.18
6.540e-03,1.24,0.186
6.560e-03,1.26,0.188
6.580e-03,1.22,0.202
6.600e-03,1.22,0.17
6.620e-03,1.24,0.172
6.640e-03,1.22,0.206
6.660e-03,1.22,0.178
6.680e-03,1.24,0.192
6.700e-03,1.22,0.188
6.720e-03,1.18,0.164
6.740e-03,1.22,0.178
6.760e-03,1.24,0.182
6.780e-03,1.2,0.18
6.800e-03,1.22,0.184
6.820e-03,1.2,0.182
6.840e-03,1.22,0.17
6.860e-03,1.22,0.184
6.880e-03,1.22,0.196
6.900e-03,1.24,0.184
6.920e-03,1.22,0.172
6.940e-03,1.24,0.184
6.960e-03,1.2,0.176
6.980e-03,1.22,0.192
7.000e-03,1.22,0.176
7.020e-03,1.22,0.19
7.040e-03,1.2,0.178
7.060e-03,1.24,0.192
7.080e-03,1.22,0.186
7.100e-03,1.2,0.186
7.120e-03,1.24,0.194
7.140e-03,1.26,0.192
7.160e-03,1.24,0.178
7.180e-03,1.24,0.184
7.200e-03,1.22,0.182
7.220e-03,1.2,0.186
7.240e-03,1.26,0.182
7.260e-03,1.2,0.184
7.280e-03,1.2,0.196
7.300e-03,1.22,0.172
7.320e-03,1.24,0.186
7.340e-03,1.24,0.194
7.360e-03,1.24,0.19
7.380e-03,1.2,0.176
7.400e-03,1.22,0.184
7.420e-03,1.24,0.176
7.440e-03,1.2,0.172
7.460e-03,1.22,0.172
7.480e-03,1.2,0.17
7.500e-03,1.24,0.22
7.520e-03,1.22,0.176
7.540e-03,1.22,0.19
7.560e-03,1.24,0.19
7.580e-03,1.2,0.18
7.600e-03,1.24,0.174
7.620e-03,1.2,0.162
7.640e-03,1.22,0.188
7.660e-03,1.24,0.188
7.680e-03,1.24,0.178
7.700e-03,1.26,0.186
7.720e-03,1.22,0.192
7.740e-03,1.22,0.19
7.760e-03,1.22,0.19
7.780e-03,1.18,0.188
7.800e-03,1.2,0.17
7.820e-03,1.24,0.196
7.840e-03,1.22,0.176
7.860e-03,1.22,0.172
7.880e-03,1.22,0.184
7.900e-03,1.24,0.17
7.920e-03,1.26,0.19
7.940e-03,1.18,0.168
7.960e-03,1.22,0.188
7.980e-03,1.22,0.182
8.000e-03,1.2,0.184
8.020e-03,1.24,0.18
8.040e-03,1.22,0.186
8.060e-03,1.22,0.18
8.080e-03,1.26,0.176
8.100e-03,1.24,0.17
8.120e-03,1.22,0.17
8.140e-03,1.22,0.194
8.160e-03,1.2,0.182
8.180e-03,1.22,0.196
8.200e-03,1.22,0.162
8.220e-03,1.2,0.182
8.240e-03,1.24,0.176
8.260e-03,1.22,0.176
8.280e-03,1.2,0.174
8.300e-03,1.22,0.182
8.320e-03,1.22,0.182
8.340e-03,1.24,0.182
8.360e-03,1.26,0.184
8.380e-03,1.22,0.18
8.400e-03,1.22,0.172
8.420e-03,1.22,0.18
8.440e-03,1.24,0.194
8.460e-03,1.2,0.188
8.480e-03,1.16,0.184
8.500e-03,1.22,0.18
8.520e-03,1.24,0.196
8.540e-03,1.22,0.182
8.560e-03,1.2,0.186
8.580e-03,1.24,0.18
8.600e-03,1.2,0.176
8.620e-03,1.22,0.176
8.640e-03,1.24,0.174
8.660e-03,1.18,0.186
8.680e-03,1.22,0.186
8.700e-03,1.24,0.174
8.720e-03,1.26,0.18
8.740e-03,1.22,0.172
8.760e-03,1.22,0.18
8.780e-03,1.26,0.184
8.800e-03,1.22,0.174
8.820e-03,1.22,0.182
8.840e-03,1.24,0.184
8.860e-03,1.24,0.184
8.880e-03,1.22,0.124
8.900e-03,1.22,0.192
8.920e-03,1.24,0.172
8.940e-03,1.22,0.186
8.960e-03,1.2,0.146
8.980e-03,1.22,0.182
9.000e-03,1.22,0.212
9.020e-03,1.22,0.186
9.040e-03,1.22,0.182
9.060e-03,1.22,0.174
9.080e-03,1.22,0.176
9.100e-03,1.22,0.176
9.120e-03,1.22,0.182
9.140e-03,1.2,0.184
9.160e-03,1.2,0.178
9.180e-03,1.24,0.172
9.200e-03,1.22,0.18
9.220e-03,1.2,0.176
9.240e-03,1.22,0.16
9.260e-03,1.22,0.178
9.280e-03,1.22,0.184
9.300e-03,1.24,0.186
9.320e-03,1.24,0.2
9.340e-03,1.24,0.186
9.360e-03,1.26,0.19
9.380e-03,1.22,0.172
9.400e-03,1.22,0.18
9.420e-03,1.22,0.194
9.440e-03,1.24,0.178
9.460e-03,1.22,0.182
9.480e-03,1.26,0.176
9.500e-03,1.24,0.184
9.520e-03,1.24,0.184
9.540e-03,1.24,0.18
9.560e-03,1.24,0.186
9.580e-03,1.2,0.178
9.600e-03,1.22,0.174
9.620e-03,1.22,0.178
9.640e-03,1.2,0.184
9.660e-03,1.22,0.174
9.680e-03,1.24,0.176
9.700e-03,1.2,0.186
9.720e-03,1.22,0.17
9.740e-03,1.22,0.188
9.760e-03,1.26,0.17
9.780e-03,1.22,0.182
9.800e-03,1.22,0.188
9.820e-03,1.22,0.194
9.840e-03,1.24,0.174
9.860e-03,1.24,0.176
9.880e-03,1.22,0.19
9.900e-03,1.22,0.178
9.920e-03,1.22,0.184
9.940e-03,1.24,0.184
9.960e-03,1.24,0.178
9.980e-03,1.24,0.184
1.000e-02,1.24,0.174
1.002e-02,1.22,0.182
1.004e-02,1.22,0.178
1.006e-02,1.2,0.184
1.008e-02,1.24,0.174
1.010e-02,1.2,0.176
1.012e-02,1.2,0.182
1.014e-02,1.22,0.186
1.016e-02,1.22,0.18
1.018e-02,1.2,0.182
1.020e-02,1.22,0.184
1.022e-02,1.22,0.174
1.024e-02,1.22,0.192
1.026e-02,1.22,0.188
1.028e-02,1.22,0.184
1.030e-02,1.22,0.186
1.032e-02,1.2,0.17
1.034e-02,1.22,0.19
1.036e-02,1.2,0.176
1.038e-02,1.22,0.186
1.040e-02,1.22,0.18
1.042e-02,1.24,0.182
1.044e-02,1.24,0.186
1.046e-02,1.22,0.182
1.048e-02,1.2,0.182
1.050e-02,1.22,0.182
1.052e-02,1.22,0.194
1.054e-02,1.22,0.184
1.056e-02,1.22,0.192
1.058e-02,1.22,0.176
1.060e-02,1.2,0.184
1.062e-02,1.24,0.184
1.064e-02,1.26,0.182
1.066e-02,1.2,0.174
1.068e-02,1.24,0.178
1.070e-02,1.22,0.184
1.072e-02,1.2,0.18
1.074e-02,1.24,0.174
1.076e-02,1.22,0.18
1.078e-02,1.26,0.19
1.080e-02,1.24,0.186
1.082e-02,1.24,0.188
1.084e-02,1.2,0.188
1.086e-02,1.2,0.182
1.088e-02,1.22,0.18
1.090e-02,1.24,0.182
1.092e-02,1.2,0.188
1.094e-02,1.22,0.186
1.096e-02,1.2,0.182
1.098e-02,1.24,0.186
1.100e-02,1.22,0.174
1.102e-02,1.24,0.182
1.104e-02,1.24,0.182
1.106e-02,1.2,0.182
1.108e-02,1.22,0.188
1.110e-02,1.24,0.182
1.112e-02,1.22,0.178
1.114e-02,1.24,0.18
1.116e-02,1.22,0.182
