Model,DPO3034
Firmware Version,2.16

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,1e-06,
Sample Interval,1e-08,
Record Length,1000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,0.5
Label,,
TIME,CH1,CH2
2.190e-06,5.12,1.04
2.200e-06,4.96,1.06
2.210e-06,4.8,1.02
2.220e-06,4.72,1.06
2.230e-06,4.72,1.06
2.240e-06,4.72,0.94
2.250e-06,4.64,0.9
2.260e-06,4.56,0.94
2.270e-06,4.32,0.86
2.280e-06,4.08,0.9
2.290e-06,4,0.82
2.300e-06,4,0.74
2.310e-06,4,0.74
2.320e-06,4,0.76
2.330e-06,4.08,0.74
2.340e-06,4,0.84
2.350e-06,3.68,0.86
2.360e-06,3.6,0.78
2.370e-06,3.76,0.72
2.380e-06,3.68,0.62
2.390e-06,3.68,0.48
2.400e-06,3.6,0.52
2.410e-06,3.28,0.52
2.420e-06,2.96,0.54
2.430e-06,3.2,0.56
2.440e-06,3.2,0.46
2.450e-06,3.28,0.4
2.460e-06,3.2,0.44
2.470e-06,2.88,0.34
2.480e-06,2.72,0.38
2.490e-06,2.72,0.4
2.500e-06,2.72,0.32
2.510e-06,2.64,0.32
2.520e-06,2.48,0.32
2.530e-06,2.72,0.3
2.540e-06,2.48,0.32
2.550e-06,2.32,0.36
2.560e-06,2.24,0.26
2.570e-06,2.16,0.2
2.580e-06,2.24,0.12
2.590e-06,2.08,0.04
2.600e-06,2.08,0.08
2.610e-06,2.08,0.1
2.620e-06,1.92,0.16
2.630e-06,1.92,0.16
2.640e-06,2,0.18
2.650e-06,2.08,0.16
2.660e-06,2.08,0.12
2.670e-06,2.08,0.1
2.680e-06,1.92,0.08
2.690e-06,2,0.12
2.700e-06,2,0.12
2.710e-06,2.08,0.18
2.720e-06,2,0.18
2.730e-06,2,0.16
2.740e-06,1.92,0.12
2.750e-06,2,0.1
2.760e-06,2.16,0.08
2.770e-06,1.92,0.08
2.780e-06,1.92,0.12
2.790e-06,2,0.12
2.800e-06,1.92,0.16
2.810e-06,2.08,0.16
2.820e-06,1.92,0.14
2.830e-06,2.08,0.16
2.840e-06,2.16,0.1
2.850e-06,2,0.12
2.860e-06,2.08,0.14
2.870e-06,2.08,0.12
2.880e-06,2.08,0.14
2.890e-06,2,0.12
2.900e-06,2,0.1
2.910e-06,2.08,0.12
2.920e-06,2.16,0.1
2.930e-06,2.08,0.12
2.940e-06,2,0.08
2.950e-06,2.08,0.16
2.960e-06,2.16,0.14
