Model,DPO3034
Firmware Version,2.16

Point Format,Y,,
Horizontal Units,S,,
Horizontal Scale,0.0002,,
Sample Interval,4e-10,,
Record Length,5e+06,,
Gating,49.0% to 51.00%,49.0% to 51.00%,49.0% to 51.00%
Probe Attenuation,1,1,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,0.02,0.02,0.02
Label,,,
TIME,CH1,CH2,CH3
2.5295120e-04,0.0776,0.0504,0.0344
2.5295160e-04,0.0776,0.0504,0.0336
2.5295200e-04,0.076,0.0512,0.0344
2.5295240e-04,0.076,0.0528,0.0352
2.5295280e-04,0.0744,0.0528,0.0352
2.5295320e-04,0.0744,0.052,0.0352
2.5295360e-04,0.0744,0.052,0.0352
2.5295400e-04,0.0728,0.0488,0.036
2.5295440e-04,0.0744,0.0496,0.036
2.5295480e-04,0.0736,0.0488,0.0336
2.5295520e-04,0.072,0.0464,0.0344
2.5295560e-04,0.0704,0.0464,0.0336
2.5295600e-04,0.0704,0.0456,0.032
2.5295640e-04,0.0696,0.0464,0.032
2.5295680e-04,0.0696,0.0496,0.0312
2.5295720e-04,0.0688,0.0512,0.032
2.5295760e-04,0.0704,0.0512,0.032
2.5295800e-04,0.0712,0.0504,0.032
2.5295840e-04,0.0696,0.0512,0.032
2.5295880e-04,0.0704,0.0528,0.032
2.5295920e-04,0.0704,0.0528,0.0328
2.5295960e-04,0.0704,0.0536,0.0328
2.5296000e-04,0.0704,0.0528,0.0336
2.5296040e-04,0.0704,0.0544,0.0336
2.5296080e-04,0.0688,0.0544,0.0336
2.5296120e-04,0.0672,0.056,0.0336
2.5296160e-04,0.0672,0.0584,0.0336
2.5296200e-04,0.0664,0.0584,0.0344
2.5296240e-04,0.068,0.0584,0.036
2.5296280e-04,0.0672,0.056,0.036
2.5296320e-04,0.0672,0.0552,0.036
2.5296360e-04,0.0648,0.0552,0.036
2.5296400e-04,0.0648,0.0528,0.036
2.5296440e-04,0.0656,0.0544,0.036
2.5296480e-04,0.0664,0.0528,0.0352
2.5296520e-04,0.0656,0.052,0.0352
2.5296560e-04,0.0648,0.052,0.0344
2.5296600e-04,0.064,0.0528,0.0336
2.5296640e-04,0.0632,0.0544,0.0336
2.5296680e-04,0.064,0.0544,0.032
2.5296720e-04,0.0648,0.0544,0.0312
2.5296760e-04,0.0664,0.0568,0.0296
2.5296800e-04,0.0664,0.0568,0.0288
2.5296840e-04,0.0672,0.0568,0.0296
2.5296880e-04,0.068,0.0568,0.0296
2.5296920e-04,0.0696,0.06,0.028
2.5296960e-04,0.0696,0.0592,0.028
2.5297000e-04,0.0712,0.0608,0.0272
2.5297040e-04,0.0712,0.0608,0.0272
2.5297080e-04,0.0712,0.0624,0.0272
2.5297120e-04,0.0728,0.0632,0.0288
2.5297160e-04,0.072,0.0632,0.0272
2.5297200e-04,0.0728,0.0632,0.0288
2.5297240e-04,0.072,0.0616,0.0296
2.5297280e-04,0.072,0.0616,0.0296
2.5297320e-04,0.072,0.0576,0.0296
2.5297360e-04,0.0728,0.0552,0.0296
2.5297400e-04,0.0712,0.0536,0.0288
2.5297440e-04,0.0728,0.0536,0.0288
2.5297480e-04,0.0712,0.0536,0.028
2.5297520e-04,0.0712,0.0544,0.028
2.5297560e-04,0.0704,0.0536,0.028
2.5297600e-04,0.0704,0.0544,0.028
2.5297640e-04,0.0712,0.056,0.0264
2.5297680e-04,0.072,0.0552,0.0272
2.5297720e-04,0.0728,0.056,0.0256
2.5297760e-04,0.0728,0.0568,0.0248
2.5297800e-04,0.0728,0.0568,0.0256
2.5297840e-04,0.0744,0.0576,0.0256
2.5297880e-04,0.0736,0.0592,0.0248
2.5297920e-04,0.0736,0.0592,0.0248
2.5297960e-04,0.0752,0.0616,0.024
2.5298000e-04,0.0752,0.0624,0.024
2.5298040e-04,0.076,0.064,0.0232
2.5298080e-04,0.0768,0.064,0.0232
2.5298120e-04,0.0768,0.064,0.0232
2.5298160e-04,0.0752,0.0624,0.0232
2.5298200e-04,0.0752,0.0616,0.0232
2.5298240e-04,0.0752,0.0608,0.0232
2.5298280e-04,0.0736,0.0584,0.0224
2.5298320e-04,0.0728,0.0568,0.0232
2.5298360e-04,0.0728,0.0536,0.0232
2.5298400e-04,0.0712,0.0544,0.0224
2.5298440e-04,0.0696,0.052,0.0216
2.5298480e-04,0.068,0.0528,0.0216
2.5298520e-04,0.0664,0.052,0.0216
2.5298560e-04,0.0664,0.0512,0.02
2.5298600e-04,0.0664,0.0512,0.0208
2.5298640e-04,0.0664,0.052,0.0216
2.5298680e-04,0.0656,0.0512,0.0208
2.5298720e-04,0.0656,0.0528,0.02
2.5298760e-04,0.064,0.052,0.0192
2.5298800e-04,0.0648,0.0544,0.02
2.5298840e-04,0.064,0.056,0.0216
2.5298880e-04,0.0672,0.056,0.0216
2.5298920e-04,0.068,0.0568,0.0208
2.5298960e-04,0.068,0.0584,0.0216
2.5299000e-04,0.068,0.06,0.0224
2.5299040e-04,0.0688,0.0616,0.0224
2.5299080e-04,0.0688,0.0608,0.0232
2.5299120e-04,0.0688,0.06,0.0232
2.5299160e-04,0.0696,0.0568,0.0248
2.5299200e-04,0.0688,0.0544,0.0224
2.5299240e-04,0.068,0.052,0.0232
2.5299280e-04,0.068,0.0504,0.0224
2.5299320e-04,0.0656,0.0472,0.0232
2.5299360e-04,0.0656,0.0456,0.0232
2.5299400e-04,0.0648,0.0448,0.024
2.5299440e-04,0.0648,0.044,0.0224
2.5299480e-04,0.064,0.044,0.0208
2.5299520e-04,0.0624,0.0432,0.0216
2.5299560e-04,0.0616,0.0408,0.0216
2.5299600e-04,0.0632,0.0408,0.0216
2.5299640e-04,0.0624,0.0416,0.0216
2.5299680e-04,0.0616,0.0416,0.0216
2.5299720e-04,0.0616,0.0424,0.0192
2.5299760e-04,0.0632,0.044,0.0192
2.5299800e-04,0.064,0.0456,0.0208
2.5299840e-04,0.0632,0.0464,0.0192
2.5299880e-04,0.0648,0.0496,0.0192
2.5299920e-04,0.0648,0.0544,0.0176
2.5299960e-04,0.0648,0.0568,0.02
2.5300000e-04,0.0664,0.0568,0.0208
2.5300040e-04,0.068,0.056,0.0192
2.5300080e-04,0.068,0.056,0.0208
2.5300120e-04,0.0696,0.0536,0.0192
2.5300160e-04,0.0696,0.052,0.0208
2.5300200e-04,0.068,0.0504,0.0192
2.5300240e-04,0.068,0.0472,0.0192
2.5300280e-04,0.0688,0.0456,0.0192
2.5300320e-04,0.068,0.0424,0.0192
2.5300360e-04,0.068,0.0408,0.0184
2.5300400e-04,0.068,0.04,0.0176
2.5300440e-04,0.0664,0.04,0.0208
2.5300480e-04,0.0664,0.04,0.02
2.5300520e-04,0.0672,0.0352,0.0192
2.5300560e-04,0.0664,0.0336,0.0176
2.5300600e-04,0.0672,0.0328,0.0192
2.5300640e-04,0.0672,0.0344,0.02
2.5300680e-04,0.0664,0.0344,0.0208
2.5300720e-04,0.0688,0.0352,0.0192
2.5300760e-04,0.068,0.0376,0.02
2.5300800e-04,0.0688,0.0408,0.0192
2.5300840e-04,0.0696,0.0432,0.0192
2.5300880e-04,0.0696,0.0472,0.0208
2.5300920e-04,0.0704,0.0488,0.0216
2.5300960e-04,0.072,0.0512,0.0216
2.5301000e-04,0.0728,0.052,0.0232
2.5301040e-04,0.0728,0.0512,0.0232
2.5301080e-04,0.072,0.0512,0.0232
2.5301120e-04,0.072,0.0504,0.0232
2.5301160e-04,0.0712,0.0472,0.0232
2.5301200e-04,0.0712,0.0456,0.0232
2.5301240e-04,0.0696,0.0448,0.024
2.5301280e-04,0.0688,0.0448,0.0224
2.5301320e-04,0.0696,0.0432,0.0224
2.5301360e-04,0.0688,0.0416,0.0232
2.5301400e-04,0.0696,0.0392,0.0216
2.5301440e-04,0.0688,0.0392,0.0224
2.5301480e-04,0.0696,0.0384,0.0224
2.5301520e-04,0.0696,0.0368,0.0208
2.5301560e-04,0.0704,0.0352,0.0208
2.5301600e-04,0.0696,0.0336,0.0216
2.5301640e-04,0.0696,0.0336,0.0208
2.5301680e-04,0.0688,0.0352,0.02
2.5301720e-04,0.0704,0.036,0.0192
2.5301760e-04,0.0704,0.0368,0.0208
2.5301800e-04,0.0696,0.0392,0.0208
2.5301840e-04,0.0704,0.0424,0.0216
2.5301880e-04,0.0712,0.0448,0.0224
2.5301920e-04,0.0712,0.0464,0.024
2.5301960e-04,0.0688,0.0496,0.0248
2.5302000e-04,0.0688,0.0512,0.0232
2.5302040e-04,0.0688,0.052,0.0232
2.5302080e-04,0.0688,0.0536,0.0248
2.5302120e-04,0.0688,0.0528,0.0256
2.5302160e-04,0.068,0.052,0.0232
2.5302200e-04,0.0664,0.0528,0.024
2.5302240e-04,0.0672,0.0488,0.0248
2.5302280e-04,0.068,0.048,0.024
2.5302320e-04,0.0664,0.0456,0.0224
2.5302360e-04,0.0672,0.044,0.0224
2.5302400e-04,0.068,0.0424,0.0216
2.5302440e-04,0.068,0.04,0.0208
2.5302480e-04,0.0704,0.0408,0.0208
2.5302520e-04,0.0704,0.0392,0.0232
2.5302560e-04,0.0696,0.0384,0.0216
2.5302600e-04,0.0688,0.0376,0.0208
2.5302640e-04,0.068,0.0384,0.02
2.5302680e-04,0.0688,0.0384,0.0192
2.5302720e-04,0.0704,0.0392,0.02
