Tiempo (s),Setpoint (K),Sensor 1 (K),Sensor 2 (K),dT/dt 1 (K/min),dT/dt 2 (K/Min),Potencia (W),Voltaje A (V),Voltaje B (V),Corriente (A),Resistencia A (Ohm),Resistencia B (Ohm)
86.7939453,299.1109806,305.3880000,26.9870000,-0.0768961,2.1274593,0.0000000,0.1000900,0.0000948,NaN,1056.0445334,NaN
87.9677734,299.1158512,305.4280000,26.9440000,-8.9091851,1.8999415,0.0000000,0.1001000,0.0000948,NaN,1056.2001906,NaN
89.1298828,299.1207178,305.4550000,26.9610000,-4.4324937,1.9216013,0.0000000,0.1001050,0.0000949,NaN,1054.4938577,NaN
90.2919922,299.1256087,305.4840000,26.9580000,-0.6678261,1.7209365,0.0000000,0.1001020,0.0000949,NaN,1054.6733423,NaN
91.4570312,299.1304508,305.5180000,26.8420000,0.3614118,1.4456471,0.0000000,0.1001260,0.0000948,NaN,1055.7905248,NaN
92.6435547,299.1352930,305.5430000,26.7780000,-3.0681326,1.6243055,0.0000000,0.1001110,0.0000950,NaN,1054.1417639,NaN
93.8154297,299.1401473,305.5670000,26.6620000,-4.5926910,1.5053821,0.0000000,0.1001000,0.0000950,NaN,1053.8794556,NaN
94.9765625,299.1450911,305.5980000,26.7960000,-4.5793789,1.2466087,0.0000000,0.1001130,0.0000950,NaN,1053.7678096,NaN
96.1386719,299.1499740,305.6140000,26.7170000,0.4629217,1.4144830,0.0000000,0.1000820,0.0000950,NaN,1053.0790477,NaN
97.3056641,299.1548120,305.6360000,26.6740000,1.4204288,1.2138209,0.0000000,0.1001080,0.0000949,NaN,1054.7310019,NaN
98.4775391,299.1596541,305.6580000,26.6670000,-3.1428428,0.9789182,0.0000000,0.1001310,0.0000951,NaN,1053.3629853,NaN
99.6386719,299.1645166,305.6710000,26.7140000,-1.2826722,1.1287516,0.0000000,0.1001090,0.0000951,NaN,1052.4738798,NaN
100.8007812,299.1693994,305.6920000,26.7850000,1.0287149,0.9001256,0.0000000,0.1000750,0.0000950,NaN,1053.5585698,NaN
101.9638672,299.1742375,305.7110000,26.7750000,3.0474653,0.8780832,0.0000000,0.1000880,0.0000950,NaN,1053.9572891,NaN
103.1435547,299.1790796,305.7210000,26.9980000,1.5740613,1.0321714,0.0000000,0.1001000,0.0000951,NaN,1053.0390855,NaN
104.3115234,299.1839258,305.7390000,26.9550000,5.4550729,0.7427095,0.0000000,0.1001140,0.0000951,NaN,1052.2554111,NaN
105.4785156,299.1888411,305.7550000,26.8170000,4.6003328,0.7156073,0.0000000,0.1000970,0.0000952,NaN,1051.3816472,NaN
106.6406250,299.1937077,305.7600000,26.8900000,-4.6510414,0.8736763,0.0000000,0.1000940,0.0000951,NaN,1052.5873011,NaN
107.8388672,299.1985701,305.7800000,26.9410000,-1.6744654,0.5409811,0.0000000,0.1001020,0.0000952,NaN,1051.9059503,NaN
108.9990234,299.2034123,305.7870000,26.8370000,3.1520728,0.6354986,0.0000000,0.1001080,0.0000953,NaN,1050.8933980,NaN
110.1562500,299.2084049,305.7920000,26.7690000,-1.3483727,0.6869068,0.0000000,0.1000950,0.0000952,NaN,1051.0415912,NaN
111.3173828,299.2132389,305.8110000,26.7840000,-4.4532996,0.3106953,0.0000000,0.1001120,0.0000953,NaN,1050.5460926,NaN
112.4843750,299.2180607,305.8140000,26.7960000,-1.3716596,0.6211289,0.0000000,0.1000890,0.0000952,NaN,1051.7350807,NaN
113.6435547,299.2228988,305.8240000,26.9020000,0.6958389,0.5669799,0.0000000,0.1000910,0.0000952,NaN,1051.2457490,NaN
114.8027344,299.2277612,305.8340000,26.8610000,3.0436272,0.3353149,0.0000000,0.1001040,0.0000952,NaN,1051.5821950,NaN
115.9638672,299.2325911,305.8350000,26.9000000,1.6822241,0.5176074,0.0000000,0.1000980,0.0000952,NaN,1050.9428752,NaN
