Model,DPO3034
Firmware Version,2.16

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,2,
Sample Interval,0.02,
Record Length,1000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,1,0.2
Label,,
TIME,CH1,CH2
6.840e+00,2.42,0.46
6.860e+00,2.38,0.476
6.880e+00,2.26,0.46
6.900e+00,2.26,0.444
6.920e+00,2.22,0.444
6.940e+00,2.22,0.444
6.960e+00,2.14,0.428
6.980e+00,2.18,0.436
7.000e+00,2.18,0.428
7.020e+00,2.1,0.428
7.040e+00,2.14,0.404
7.060e+00,2.1,0.396
7.080e+00,2.06,0.396
7.100e+00,1.94,0.388
7.120e+00,2.02,0.404
7.140e+00,1.98,0.38
7.160e+00,1.94,0.388
7.180e+00,1.94,0.388
7.200e+00,1.82,0.356
7.220e+00,1.9,0.356
7.240e+00,1.78,0.364
7.260e+00,1.78,0.364
7.280e+00,1.82,0.356
7.300e+00,1.78,0.34
7.320e+00,1.66,0.316
7.340e+00,1.66,0.276
7.360e+00,1.62,0.316
7.380e+00,1.62,0.3
7.400e+00,1.5,0.308
7.420e+00,1.46,0.3
7.440e+00,1.5,0.292
7.460e+00,1.5,0.292
7.480e+00,1.5,0.276
7.500e+00,1.42,0.268
7.520e+00,1.42,0.276
7.540e+00,1.38,0.292
7.560e+00,1.38,0.252
7.580e+00,1.34,0.244
7.600e+00,1.26,0.244
7.620e+00,1.26,0.236
7.640e+00,1.3,0.22
7.660e+00,1.26,0.236
7.680e+00,1.22,0.212
7.700e+00,1.14,0.228
7.720e+00,1.14,0.196
7.740e+00,1.14,0.212
7.760e+00,1.14,0.212
7.780e+00,1.14,0.22
7.800e+00,1.14,0.22
7.820e+00,1.1,0.204
7.840e+00,1.1,0.212
7.860e+00,1.14,0.196
7.880e+00,1.1,0.212
7.900e+00,1.14,0.196
7.920e+00,1.14,0.236
7.940e+00,1.14,0.228
7.960e+00,1.14,0.22
7.980e+00,1.14,0.22
8.000e+00,1.18,0.188
8.020e+00,1.22,0.204
8.040e+00,1.1,0.228
8.060e+00,1.14,0.22
8.080e+00,1.1,0.228
8.100e+00,1.14,0.188
8.120e+00,1.14,0.22
8.140e+00,1.18,0.228
8.160e+00,1.14,0.212
8.180e+00,1.18,0.204
8.200e+00,1.14,0.204
8.220e+00,1.14,0.212
8.240e+00,1.18,0.236
8.260e+00,1.06,0.156
8.280e+00,1.1,0.212
8.300e+00,1.1,0.204
8.320e+00,1.1,0.204
8.340e+00,1.14,0.196
8.360e+00,1.14,0.212
8.380e+00,1.14,0.212
8.400e+00,1.14,0.212
8.420e+00,1.22,0.22
8.440e+00,1.18,0.212
8.460e+00,1.14,0.22
8.480e+00,1.14,0.204
8.500e+00,1.18,0.188
8.520e+00,1.14,0.22
8.540e+00,1.18,0.212
8.560e+00,1.14,0.236
8.580e+00,1.1,0.212
8.600e+00,1.22,0.228
8.620e+00,1.1,0.212
8.640e+00,1.18,0.204
8.660e+00,1.14,0.22
8.680e+00,1.06,0.196
8.700e+00,1.14,0.204
8.720e+00,1.1,0.212
8.740e+00,1.18,0.212
8.760e+00,1.1,0.204
8.780e+00,1.1,0.204
8.800e+00,1.22,0.204
8.820e+00,1.14,0.212
8.840e+00,1.06,0.204
8.860e+00,1.22,0.196
8.880e+00,1.14,0.212
8.900e+00,1.14,0.196
8.920e+00,1.22,0.212
8.940e+00,1.14,0.204
8.960e+00,1.1,0.22
8.980e+00,1.1,0.22
9.000e+00,1.14,0.204
9.020e+00,1.14,0.196
9.040e+00,1.22,0.188
9.060e+00,1.14,0.212
9.080e+00,1.1,0.212
9.100e+00,1.14,0.22
9.120e+00,1.06,0.22
9.140e+00,1.14,0.212
9.160e+00,1.1,0.196
9.180e+00,1.1,0.22
9.200e+00,1.06,0.196
9.220e+00,1.14,0.188
9.240e+00,1.18,0.204
9.260e+00,1.14,0.212
9.280e+00,1.14,0.212
9.300e+00,1.14,0.196
9.320e+00,1.14,0.228
9.340e+00,1.1,0.22
9.360e+00,1.1,0.212
9.380e+00,1.06,0.196
9.400e+00,1.14,0.236
9.420e+00,1.18,0.228
9.440e+00,1.14,0.204
9.460e+00,1.1,0.212
9.480e+00,1.1,0.204
9.500e+00,1.18,0.204
9.520e+00,1.18,0.212
9.540e+00,1.14,0.276
9.560e+00,1.1,0.204
9.580e+00,1.1,0.212
9.600e+00,1.06,0.228
9.620e+00,1.06,0.204
9.640e+00,1.14,0.22
9.660e+00,1.18,0.22
9.680e+00,1.06,0.196
9.700e+00,1.1,0.196
9.720e+00,1.1,0.212
9.740e+00,1.22,0.228
9.760e+00,1.18,0.212
9.780e+00,1.22,0.188
9.800e+00,1.18,0.212
9.820e+00,1.18,0.212
9.840e+00,1.14,0.212
9.860e+00,1.18,0.196
9.880e+00,1.14,0.212
9.900e+00,1.14,0.212
9.920e+00,1.18,0.188
9.940e+00,1.06,0.212
9.960e+00,1.1,0.196
9.980e+00,1.18,0.244
1.000e+01,1.14,0.204
1.002e+01,1.22,0.188
1.004e+01,1.06,0.22
1.006e+01,1.14,0.196
1.008e+01,1.14,0.236
1.010e+01,1.18,0.188
1.012e+01,1.14,0.228
1.014e+01,1.14,0.204
1.016e+01,1.18,0.196
1.018e+01,1.18,0.196
1.020e+01,1.1,0.188
1.022e+01,1.22,0.212
1.024e+01,1.18,0.204
1.026e+01,1.1,0.204
1.028e+01,1.18,0.212
1.030e+01,1.14,0.196
1.032e+01,1.06,0.204
1.034e+01,1.18,0.196
1.036e+01,1.1,0.204
1.038e+01,1.18,0.212
1.040e+01,1.06,0.212
1.042e+01,1.18,0.204
1.044e+01,1.18,0.196
1.046e+01,1.14,0.204
1.048e+01,1.14,0.22
1.050e+01,1.06,0.212
1.052e+01,1.18,0.196
1.054e+01,1.14,0.22
1.056e+01,1.1,0.22
1.058e+01,1.14,0.22
1.060e+01,1.06,0.188
1.062e+01,1.14,0.204
1.064e+01,1.22,0.22
1.066e+01,1.18,0.196
1.068e+01,1.18,0.204
1.070e+01,1.14,0.204
1.072e+01,1.1,0.212
1.074e+01,1.14,0.212
1.076e+01,1.14,0.228
1.078e+01,1.1,0.212
1.080e+01,1.1,0.204
1.082e+01,1.06,0.196
1.084e+01,1.06,0.204
1.086e+01,1.1,0.204
1.088e+01,1.14,0.212
1.090e+01,1.14,0.212
1.092e+01,1.18,0.212
1.094e+01,1.14,0.22
1.096e+01,1.14,0.196
1.098e+01,1.14,0.22
1.100e+01,1.14,0.22
1.102e+01,1.18,0.212
1.104e+01,1.18,0.204
1.106e+01,1.18,0.228
1.108e+01,1.14,0.196
1.110e+01,1.14,0.196
1.112e+01,1.1,0.204
1.114e+01,1.18,0.212
1.116e+01,1.14,0.196
1.118e+01,1.14,0.22
1.120e+01,1.1,0.204
1.122e+01,1.14,0.196
1.124e+01,1.1,0.22
1.126e+01,1.18,0.22
1.128e+01,1.14,0.196
1.130e+01,1.14,0.212
1.132e+01,1.26,0.22
1.134e+01,1.14,0.212
1.136e+01,1.1,0.22
1.138e+01,1.18,0.204
1.140e+01,1.14,0.204
1.142e+01,1.1,0.22
1.144e+01,1.14,0.212
1.146e+01,1.14,0.204
1.148e+01,1.1,0.204
1.150e+01,1.1,0.212
1.152e+01,1.26,0.212
1.154e+01,1.14,0.172
1.156e+01,1.14,0.212
1.158e+01,1.18,0.204
1.160e+01,1.14,0.196
1.162e+01,1.1,0.204
1.164e+01,1.14,0.212
1.166e+01,1.14,0.228
1.168e+01,1.14,0.196
1.170e+01,1.1,0.172
1.172e+01,1.14,0.228
1.174e+01,1.22,0.212
1.176e+01,1.1,0.212
1.178e+01,1.18,0.196
1.180e+01,1.1,0.196
1.182e+01,1.06,0.196
1.184e+01,1.14,0.212
1.186e+01,1.14,0.196
1.188e+01,1.14,0.204
1.190e+01,1.18,0.204
1.192e+01,1.06,0.22
1.194e+01,1.1,0.22
1.196e+01,1.1,0.204
1.198e+01,1.18,0.22
1.200e+01,1.14,0.196
1.202e+01,1.06,0.212
1.204e+01,1.06,0.196
1.206e+01,1.14,0.22
1.208e+01,1.14,0.204
1.210e+01,1.1,0.22
1.212e+01,1.14,0.196
1.214e+01,1.14,0.212
1.216e+01,1.1,0.18
1.218e+01,1.14,0.212
1.220e+01,1.14,0.212
1.222e+01,1.14,0.212
1.224e+01,1.22,0.196
1.226e+01,1.06,0.236
1.228e+01,1.06,0.212
1.230e+01,1.1,0.204
1.232e+01,1.14,0.204
1.234e+01,1.06,0.204
1.236e+01,1.14,0.196
1.238e+01,1.14,0.204
1.240e+01,1.18,0.22
1.242e+01,1.14,0.22
1.244e+01,1.14,0.204
1.246e+01,1.18,0.188
1.248e+01,1.18,0.204
1.250e+01,1.1,0.204
1.252e+01,1.14,0.196
1.254e+01,1.1,0.204
1.256e+01,1.06,0.22
1.258e+01,1.14,0.18
1.260e+01,1.14,0.204
1.262e+01,1.1,0.196
1.264e+01,1.18,0.212
1.266e+01,1.14,0.204
1.268e+01,1.14,0.244
1.270e+01,1.14,0.196
1.272e+01,1.14,0.22
1.274e+01,1.06,0.204
1.276e+01,1.22,0.22
1.278e+01,1.18,0.22
1.280e+01,1.18,0.236
1.282e+01,1.06,0.196
1.284e+01,1.22,0.22
1.286e+01,1.18,0.188
1.288e+01,1.18,0.196
1.290e+01,1.14,0.22
1.292e+01,1.1,0.212
1.294e+01,1.1,0.212
1.296e+01,1.1,0.196
1.298e+01,1.14,0.188
1.300e+01,1.22,0.212
1.302e+01,1.18,0.204
1.304e+01,1.14,0.212
1.306e+01,1.18,0.228
1.308e+01,1.14,0.228
1.310e+01,1.18,0.204
1.312e+01,1.1,0.196
1.314e+01,1.18,0.204
1.316e+01,1.1,0.188
1.318e+01,1.14,0.196
1.320e+01,1.1,0.22
1.322e+01,1.14,0.212
1.324e+01,1.1,0.228
1.326e+01,1.18,0.18
1.328e+01,1.14,0.22
1.330e+01,1.14,0.22
1.332e+01,1.14,0.212
1.334e+01,1.14,0.212
1.336e+01,1.14,0.212
1.338e+01,1.1,0.204
1.340e+01,1.14,0.268
1.342e+01,1.14,0.204
1.344e+01,1.06,0.204
1.346e+01,1.18,0.212
1.348e+01,1.14,0.212
1.350e+01,1.22,0.22
1.352e+01,1.14,0.204
1.354e+01,1.18,0.196
1.356e+01,1.14,0.196
1.358e+01,1.1,0.204
1.360e+01,1.1,0.244
1.362e+01,1.22,0.212
1.364e+01,1.06,0.196
1.366e+01,1.14,0.22
1.368e+01,1.1,0.204
1.370e+01,1.18,0.204
1.372e+01,1.18,0.196
1.374e+01,1.14,0.212
1.376e+01,1.14,0.212
1.378e+01,1.18,0.212
1.380e+01,1.06,0.172
1.382e+01,1.06,0.228
1.384e+01,1.22,0.212
1.386e+01,1.06,0.212
1.388e+01,1.14,0.204
1.390e+01,1.14,0.212
1.392e+01,1.1,0.22
1.394e+01,1.14,0.244
1.396e+01,1.22,0.22
1.398e+01,1.18,0.204
1.400e+01,1.18,0.204
1.402e+01,1.06,0.212
1.404e+01,1.14,0.196
1.406e+01,1.14,0.22
1.408e+01,1.1,0.212
1.410e+01,1.06,0.212
1.412e+01,1.14,0.212
1.414e+01,1.14,0.22
1.416e+01,1.18,0.22
1.418e+01,1.06,0.196
1.420e+01,1.14,0.212
1.422e+01,1.18,0.212
1.424e+01,1.1,0.212
1.426e+01,1.14,0.204
1.428e+01,1.18,0.22
1.430e+01,1.18,0.196
1.432e+01,1.18,0.212
1.434e+01,1.1,0.212
1.436e+01,1.18,0.196
1.438e+01,1.14,0.228
1.440e+01,1.14,0.22
1.442e+01,1.14,0.228
1.444e+01,1.14,0.212
1.446e+01,1.14,0.228
1.448e+01,1.14,0.196
1.450e+01,1.14,0.204
1.452e+01,1.14,0.212
1.454e+01,1.18,0.228
1.456e+01,1.14,0.204
1.458e+01,1.14,0.204
1.460e+01,1.1,0.22
1.462e+01,1.1,0.212
1.464e+01,1.1,0.212
1.466e+01,1.1,0.204
1.468e+01,1.14,0.212
1.470e+01,1.06,0.22
1.472e+01,1.14,0.204
1.474e+01,1.18,0.196
1.476e+01,1.14,0.212
1.478e+01,1.06,0.204
1.480e+01,1.1,0.204
1.482e+01,1.14,0.212
1.484e+01,1.1,0.22
1.486e+01,1.22,0.196
1.488e+01,1.14,0.196
1.490e+01,1.1,0.196
1.492e+01,1.06,0.204
1.494e+01,1.14,0.212
1.496e+01,1.18,0.204
1.498e+01,1.14,0.204
1.500e+01,1.1,0.196
1.502e+01,1.14,0.228
1.504e+01,1.14,0.196
1.506e+01,1.1,0.196
1.508e+01,1.18,0.212
1.510e+01,1.14,0.196
1.512e+01,1.14,0.22
1.514e+01,1.18,0.212
1.516e+01,1.14,0.22
1.518e+01,1.1,0.22
1.520e+01,1.1,0.212
1.522e+01,1.1,0.22
1.524e+01,1.06,0.212
1.526e+01,1.14,0.204
1.528e+01,1.14,0.212
1.530e+01,1.14,0.188
1.532e+01,1.14,0.204
1.534e+01,1.1,0.212
1.536e+01,1.14,0.196
1.538e+01,1.14,0.22
1.540e+01,1.14,0.204
1.542e+01,1.1,0.22
1.544e+01,1.18,0.212
1.546e+01,1.18,0.212
1.548e+01,1.14,0.212
1.550e+01,1.14,0.196
1.552e+01,1.18,0.196
1.554e+01,1.18,0.196
1.556e+01,1.18,0.212
1.558e+01,1.14,0.204
