Model,DPO3034
Firmware Version,2.16

Point Format,Y
Horizontal Units,S
Horizontal Scale,1e-06
Sample Interval,1e-08
Record Length,1000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.1
Label,
TIME,CH2
4.100e-06,0.092
4.110e-06,0.092
4.120e-06,0.092
4.130e-06,0.1
4.140e-06,0.084
4.150e-06,0.092
4.160e-06,0.096
4.170e-06,0.092
4.180e-06,0.096
4.190e-06,0.088
4.200e-06,0.08
4.210e-06,0.08
4.220e-06,0.08
4.230e-06,0.072
4.240e-06,0.068
4.250e-06,0.072
4.260e-06,0.072
4.270e-06,0.068
4.280e-06,0.064
4.290e-06,0.064
4.300e-06,0.064
4.310e-06,0.064
4.320e-06,0.068
4.330e-06,0.068
4.340e-06,0.068
4.350e-06,0.084
4.360e-06,0.084
4.370e-06,0.088
4.380e-06,0.092
4.390e-06,0.088
4.400e-06,0.084
4.410e-06,0.084
4.420e-06,0.084
4.430e-06,0.076
4.440e-06,0.072
4.450e-06,0.068
4.460e-06,0.068
4.470e-06,0.068
4.480e-06,0.064
4.490e-06,0.064
4.500e-06,0.064
4.510e-06,0.064
4.520e-06,0.064
4.530e-06,0.076
4.540e-06,0.076
4.550e-06,0.08
4.560e-06,0.072
4.570e-06,0.076
4.580e-06,0.068
4.590e-06,0.072
4.600e-06,0.068
4.610e-06,0.06
4.620e-06,0.068
4.630e-06,0.068
4.640e-06,0.064
4.650e-06,0.056
4.660e-06,0.068
4.670e-06,0.064
4.680e-06,0.072
4.690e-06,0.068
4.700e-06,0.064
4.710e-06,0.072
4.720e-06,0.072
4.730e-06,0.08
4.740e-06,0.084
4.750e-06,0.092
4.760e-06,0.084
4.770e-06,0.08
4.780e-06,0.076
4.790e-06,0.084
4.800e-06,0.068
4.810e-06,0.068
4.820e-06,0.072
4.830e-06,0.076
4.840e-06,0.076
4.850e-06,0.064
4.860e-06,0.068
4.870e-06,0.072
4.880e-06,0.06
4.890e-06,0.064
4.900e-06,0.068
4.910e-06,0.06
4.920e-06,0.068
4.930e-06,0.076
4.940e-06,0.084
4.950e-06,0.084
4.960e-06,0.084
4.970e-06,0.076
4.980e-06,0.092
4.990e-06,0.092
5.000e-06,0.088
5.010e-06,0.096
5.020e-06,0.092
5.030e-06,0.096
5.040e-06,0.096
5.050e-06,0.092
5.060e-06,0.084
5.070e-06,0.076
5.080e-06,0.072
5.090e-06,0.064
5.100e-06,0.064
5.110e-06,0.068
5.120e-06,0.072
5.130e-06,0.08
5.140e-06,0.08
5.150e-06,0.088
5.160e-06,0.096
5.170e-06,0.096
5.180e-06,0.108
5.190e-06,0.1
5.200e-06,0.088
5.210e-06,0.088
5.220e-06,0.084
5.230e-06,0.08
5.240e-06,0.076
5.250e-06,0.08
5.260e-06,0.084
5.270e-06,0.084
5.280e-06,0.084
5.290e-06,0.084
5.300e-06,0.08
5.310e-06,0.08
5.320e-06,0.076
5.330e-06,0.08
5.340e-06,0.084
5.350e-06,0.088
5.360e-06,0.096
5.370e-06,0.088
5.380e-06,0.096
5.390e-06,0.096
5.400e-06,0.104
5.410e-06,0.108
5.420e-06,0.104
5.430e-06,0.096
5.440e-06,0.1
5.450e-06,0.096
5.460e-06,0.096
5.470e-06,0.084
5.480e-06,0.084
5.490e-06,0.084
5.500e-06,0.076
5.510e-06,0.092
5.520e-06,0.088
5.530e-06,0.084
5.540e-06,0.084
5.550e-06,0.096
5.560e-06,0.1
5.570e-06,0.104
5.580e-06,0.104
5.590e-06,0.108
5.600e-06,0.104
5.610e-06,0.108
5.620e-06,0.108
5.630e-06,0.1
5.640e-06,0.096
5.650e-06,0.092
5.660e-06,0.092
5.670e-06,0.08
5.680e-06,0.084
5.690e-06,0.072
5.700e-06,0.08
5.710e-06,0.076
5.720e-06,0.072
5.730e-06,0.076
5.740e-06,0.076
5.750e-06,0.072
5.760e-06,0.076
5.770e-06,0.084
5.780e-06,0.084
5.790e-06,0.088
5.800e-06,0.092
5.810e-06,0.084
5.820e-06,0.088
5.830e-06,0.084
5.840e-06,0.08
5.850e-06,0.084
5.860e-06,0.068
5.870e-06,0.076
5.880e-06,0.072
5.890e-06,0.084
5.900e-06,0.076
5.910e-06,0.08
5.920e-06,0.084
5.930e-06,0.076
5.940e-06,0.068
5.950e-06,0.068
5.960e-06,0.056
5.970e-06,0.06
5.980e-06,0.072
5.990e-06,0.068
6.000e-06,0.072
6.010e-06,0.072
6.020e-06,0.08
6.030e-06,0.076
6.040e-06,0.072
6.050e-06,0.064
6.060e-06,0.064
6.070e-06,0.064
6.080e-06,0.076
6.090e-06,0.068
6.100e-06,0.08
6.110e-06,0.072
6.120e-06,0.064
6.130e-06,0.064
6.140e-06,0.064
6.150e-06,0.068
6.160e-06,0.072
6.170e-06,0.072
6.180e-06,0.076
6.190e-06,0.08
6.200e-06,0.084
6.210e-06,0.08
6.220e-06,0.08
6.230e-06,0.076
6.240e-06,0.072
6.250e-06,0.068
6.260e-06,0.064
6.270e-06,0.072
6.280e-06,0.06
6.290e-06,0.06
6.300e-06,0.056
6.310e-06,0.052
6.320e-06,0.044
6.330e-06,0.048
6.340e-06,0.056
6.350e-06,0.064
6.360e-06,0.072
6.370e-06,0.08
6.380e-06,0.08
6.390e-06,0.084
6.400e-06,0.084
6.410e-06,0.084
6.420e-06,0.084
6.430e-06,0.072
6.440e-06,0.064
6.450e-06,0.072
6.460e-06,0.072
6.470e-06,0.072
6.480e-06,0.068
6.490e-06,0.068
6.500e-06,0.064
6.510e-06,0.072
6.520e-06,0.068
6.530e-06,0.064
6.540e-06,0.056
6.550e-06,0.064
6.560e-06,0.064
6.570e-06,0.06
6.580e-06,0.06
6.590e-06,0.068
6.600e-06,0.06
6.610e-06,0.068
6.620e-06,0.064
6.630e-06,0.068
6.640e-06,0.076
6.650e-06,0.072
6.660e-06,0.072
6.670e-06,0.072
6.680e-06,0.064
6.690e-06,0.064
6.700e-06,0.064
6.710e-06,0.064
6.720e-06,0.06
6.730e-06,0.064
6.740e-06,0.06
6.750e-06,0.06
6.760e-06,0.064
6.770e-06,0.064
6.780e-06,0.076
6.790e-06,0.076
6.800e-06,0.076
6.810e-06,0.084
6.820e-06,0.088
6.830e-06,0.084
6.840e-06,0.076
6.850e-06,0.072
6.860e-06,0.068
6.870e-06,0.064
6.880e-06,0.064
6.890e-06,0.068
6.900e-06,0.072
6.910e-06,0.072
6.920e-06,0.068
6.930e-06,0.072
6.940e-06,0.064
6.950e-06,0.064
6.960e-06,0.064
6.970e-06,0.068
6.980e-06,0.068
6.990e-06,0.076
7.000e-06,0.084
7.010e-06,0.092
7.020e-06,0.084
7.030e-06,0.092
7.040e-06,0.08
7.050e-06,0.08
7.060e-06,0.084
7.070e-06,0.088
7.080e-06,0.076
7.090e-06,0.072
7.100e-06,0.072
7.110e-06,0.072
7.120e-06,0.072
7.130e-06,0.076
7.140e-06,0.072
7.150e-06,0.076
7.160e-06,0.08
7.170e-06,0.084
7.180e-06,0.068
7.190e-06,0.076
7.200e-06,0.076
7.210e-06,0.084
7.220e-06,0.08
7.230e-06,0.08
7.240e-06,0.092
7.250e-06,0.092
7.260e-06,0.088
7.270e-06,0.084
7.280e-06,0.08
7.290e-06,0.076
7.300e-06,0.072
7.310e-06,0.068
7.320e-06,0.08
7.330e-06,0.08
7.340e-06,0.076
7.350e-06,0.064
7.360e-06,0.072
7.370e-06,0.064
7.380e-06,0.068
7.390e-06,0.064
7.400e-06,0.076
7.410e-06,0.088
7.420e-06,0.092
7.430e-06,0.088
7.440e-06,0.084
7.450e-06,0.084
7.460e-06,0.084
7.470e-06,0.08
7.480e-06,0.084
7.490e-06,0.076
7.500e-06,0.072
