Model,DPO3034
Firmware Version,2.16

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,4e-05,,,
Sample Interval,4e-10,,,
Record Length,1e+06,,,
Gating,48.749900% to 51.249900%,48.749900% to 51.249900%,48.749900% to 51.249900%,48.749900% to 51.249900%
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,0.1,0.1,0.02,0.02
Label,,,,
TIME,CH1,CH2,CH3,CH4
4.60293860e-02,0.0130312,0.0126562,0.00615,0.0049625
4.60293864e-02,0.0132812,0.01075,0.00614687,0.00515625
4.60293868e-02,0.0132656,0.00864063,0.00614062,0.00526875
4.60293872e-02,0.01325,0.00907812,0.00615937,0.00483125
4.60293876e-02,0.012375,0.0106094,0.00578437,0.0051875
4.60293880e-02,0.0130312,0.0102969,0.00609688,0.00510313
4.60293884e-02,0.0125,0.0101719,0.00644063,0.00516875
4.60293888e-02,0.0122031,0.00982812,0.00634375,0.00519375
4.60293892e-02,0.0135625,0.0101719,0.00625625,0.00530938
4.60293896e-02,0.0138281,0.0110781,0.00630625,0.00532813
4.60293900e-02,0.0134063,0.0114531,0.00630938,0.00550625
4.60293904e-02,0.0130938,0.0107187,0.00636875,0.00555313
4.60293908e-02,0.01275,0.00854688,0.00624375,0.00570938
4.60293912e-02,0.0135625,0.00929687,0.00639687,0.00561875
4.60293916e-02,0.0134063,0.00979687,0.006375,0.0054625
4.60293920e-02,0.0136719,0.0104219,0.0060875,0.00550312
4.60293924e-02,0.0135625,0.0103125,0.00598125,0.00565
4.60293928e-02,0.0133125,0.0100625,0.00610313,0.0056
4.60293932e-02,0.0132969,0.0088125,0.00616562,0.00543438
4.60293936e-02,0.0130469,0.00890625,0.00597813,0.00519688
4.60293940e-02,0.012375,0.0105156,0.00612812,0.00531563
4.60293944e-02,0.0135312,0.0114375,0.00555313,0.00521563
4.60293948e-02,0.0130156,0.0101094,0.00556875,0.00508438
4.60293952e-02,0.01225,0.00971875,0.00565312,0.00505625
4.60293956e-02,0.0130156,0.00975,0.00554063,0.00485625
4.60293960e-02,0.0128281,0.00815625,0.00560625,0.00470625
4.60293964e-02,0.0124687,0.0103281,0.00579062,0.00464687
4.60293968e-02,0.0130156,0.0108281,0.005925,0.00439062
4.60293972e-02,0.0138906,0.0110469,0.00579688,0.00450625
4.60293976e-02,0.0132656,0.0100469,0.00572813,0.0044375
4.60293980e-02,0.0147031,0.0102187,0.00605313,0.00459688
4.60293984e-02,0.0145781,0.00982812,0.0060875,0.00458125
4.60293988e-02,0.0132656,0.00948437,0.00609688,0.0046625
4.60293992e-02,0.0132812,0.00914063,0.0062,0.00492813
4.60293996e-02,0.013,0.00853125,0.00623125,0.00494063
4.60294000e-02,0.0136875,0.0102344,0.00625625,0.0051
4.60294004e-02,0.0123594,0.00965625,0.00624062,0.00549375
4.60294008e-02,0.0123437,0.00859375,0.00638125,0.005475
4.60294012e-02,0.0135625,0.00823437,0.0062875,0.005925
4.60294016e-02,0.0136719,0.00915625,0.00618438,0.00588437
4.60294020e-02,0.0134219,0.0084375,0.00622813,0.00554375
4.60294024e-02,0.0142969,0.0096875,0.0061,0.00570313
4.60294028e-02,0.0124531,0.00959375,0.00615,0.00590937
4.60294032e-02,0.0126406,0.0118125,0.00573437,0.00577187
4.60294036e-02,0.0123281,0.0114844,0.00556875,0.00546563
