#Pulsos	T-tor_ no puedo porque tienen diferente	002b	002c	002d	002e	002f	002g	002h	002i	delta02b/11684	delta02c/8818.2	delta02d/10250	delta02e/10030	delta02f/10155	delta02g/9355.1	delta02h/8967.2	delta2i/9164.5	S5_delta02b	S5_delta02c	S5_delta02d	S5_delta02e	S5_delta02f	S5_delta02g	S5_delta02h	S5_delta02i	AA	T_02b	T_02i	T_02c	T_02f	T_02d	T_02e	AH	AI	AJ
125.00				7106.6								-0.30667								-0.31868							84.018	18.616			337.55	631.58			
126.00				6744.4								-0.34201								-0.31545							85.339	18.631			340.27	632.90			
127.00				6695.7								-0.34676								-0.32204							86.659	18.647			342.99	634.22			
128.00				7132.7								-0.30413								-0.32623							87.980	18.662			345.71	635.54			
129.00				7065.9								-0.31065								-0.32106							89.301	18.677			348.43	636.86			
130.00				6892.0								-0.32761															90.622	18.693			351.15	638.19			
131.00				7009.4								-0.31616															91.944	18.708			353.87	639.51			
132.00																											93.265	18.723			355.89	640.83			
133.00																											94.585	18.738			357.21	642.15			
134.00																											95.906	18.754			358.53	643.47			
135.00																											97.227	18.769			359.85	644.79			
136.00																											98.548	18.784			361.17	646.11			
137.00																											99.870	18.799			362.49	647.43			
138.00																											101.19	18.814			363.82	648.75			
139.00																											102.51	18.829			365.14	650.07			
140.00																											103.83	18.845			366.46	651.39			
141.00																											105.15	18.860			367.78	652.71			
142.00																											106.47	18.875			369.10	654.03			
143.00																											107.80	18.891			370.42	655.35			
144.00																											109.12	18.906			371.74	656.67			
145.00																											110.44	18.921			373.06	657.99			
146.00																											111.76	18.937			374.38	659.31			
147.00																											113.08	18.952			375.70	660.63			
148.00																											114.40	18.967			377.02	661.95			
149.00																											115.72	18.983			378.34	663.27			
150.00																											117.04				379.67	664.59			
151.00																											118.36				380.99	665.92			
152.00																											119.68				382.31	667.24			
153.00																											121.00				383.63	668.56			
154.00																											122.33				384.95	669.88			
155.00																											123.65				386.27	671.20			
156.00																											124.97				387.59	672.52			
157.00																											126.29				388.91	673.84			
158.00																											127.61				390.23	675.16			
159.00																											128.93				391.55	676.48			
160.00																											130.25				392.87	677.80			
161.00																											131.57				394.19	679.12			
162.00																											132.89				395.51	680.44			
163.00																											134.21				396.84	681.76			
164.00																											135.54				398.16	683.08			
165.00																											136.86				399.48	684.40			
166.00																											138.18				400.80	685.72			
167.00																											139.50				402.12	687.04			
168.00																											140.82				403.44	688.36			
169.00																											142.14				404.76	689.68			
170.00																											143.46				406.08	691.00			
171.00																											144.78				407.40	692.33			
172.00																											146.10				408.72	693.65			
173.00																											147.42				410.04	694.97			
174.00																											148.74				411.36	696.29			
175.00																											150.07				412.68	697.61			
176.00																											151.39				414.01	698.93			
177.00																											152.71				415.33	700.25			
178.00																											154.03				416.65	701.57			
179.00																											155.35				417.97	702.89			
180.00																											156.67				419.29	704.21			
181.00																											157.99				420.61	705.53			
182.00																											159.31				421.93	706.85			
183.00																											160.63				423.25	708.17			
184.00																											161.95				424.57	709.49			
185.00																											163.27				425.89	710.81			
186.00																											164.60				427.21	712.13			
187.00																											165.92				428.53	713.45			
188.00																											167.24				429.85	714.77			
189.00																											168.56				431.17	716.09			
190.00																											169.88				432.50	717.42			
191.00																											171.20				433.82	718.74			
192.00																											172.52				435.14	720.06			
193.00																											173.84				436.46	721.38			
194.00																											175.17				437.78	722.70			
195.00																											176.49				439.10	724.02			
196.00																											177.81				440.42	725.34			
197.00																											179.13				441.74	726.66			
198.00																											180.45				443.06	727.98			
199.00																											181.77				444.38	729.30			
200.00																											183.09				445.70	730.62			
																											184.41				447.02	731.94			
																											185.73				448.34	733.26			
