Model,DPO3034
Firmware Version,2.16

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,4e-05,,,
Sample Interval,4e-10,,,
Record Length,1e+06,,,
Gating,48.749900% to 51.249900%,48.749900% to 51.249900%,48.749900% to 51.249900%,48.749900% to 51.249900%
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,0.1,0.1,0.05,0.05
Label,,,,
TIME,CH1,CH2,CH3,CH4
4.60294008e-02,0.0936875,0.0783125,0.0451875,0.0419141
4.60294012e-02,0.0948906,0.0794844,0.0453672,0.0419453
4.60294016e-02,0.0952344,0.0799219,0.0451797,0.0421172
4.60294020e-02,0.0950625,0.0804844,0.0458047,0.0425156
4.60294024e-02,0.0935312,0.07875,0.0456406,0.0427969
4.60294028e-02,0.0940469,0.0770625,0.0450078,0.0429297
4.60294032e-02,0.0949687,0.0789687,0.0456094,0.0432188
4.60294036e-02,0.0952969,0.0788281,0.0457188,0.0434375
4.60294040e-02,0.0945469,0.0793125,0.0452734,0.0443438
4.60294044e-02,0.0942344,0.0783906,0.0447656,0.04475
4.60294048e-02,0.0939062,0.0781094,0.0451406,0.0452344
4.60294052e-02,0.0943438,0.0795625,0.0445781,0.0458672
4.60294056e-02,0.0939219,0.0797656,0.0452812,0.0458984
4.60294060e-02,0.09375,0.0801719,0.0447344,0.0457734
4.60294064e-02,0.0933906,0.0798906,0.0438359,0.0456328
4.60294068e-02,0.0929531,0.0795156,0.0439297,0.0448672
4.60294072e-02,0.0926875,0.0799531,0.0437422,0.0447031
4.60294076e-02,0.0927969,0.07975,0.0434375,0.0440781
4.60294080e-02,0.0939687,0.08175,0.0437891,0.0440078
4.60294084e-02,0.0943438,0.0808594,0.0438984,0.0430391
4.60294088e-02,0.0938438,0.0799531,0.0442188,0.0426406
4.60294092e-02,0.0950625,0.0812187,0.0437031,0.0425625
4.60294096e-02,0.0934844,0.0804844,0.04425,0.0422813
4.60294100e-02,0.0939687,0.0797031,0.0449922,0.0418828
4.60294104e-02,0.0958125,0.0796875,0.0444141,0.0414531
4.60294108e-02,0.0947031,0.0794687,0.0451016,0.0412266
4.60294112e-02,0.0946094,0.0789844,0.0448672,0.0422187
4.60294116e-02,0.0945625,0.0777656,0.0453906,0.0425156
4.60294120e-02,0.094,0.0787187,0.0457031,0.0419609
4.60294124e-02,0.0947031,0.0789062,0.0457578,0.0422813
4.60294128e-02,0.0950312,0.0788125,0.0451484,0.0424922
4.60294132e-02,0.0951094,0.0793125,0.0452891,0.0430078
4.60294136e-02,0.0947969,0.0790625,0.0453984,0.0437188
4.60294140e-02,0.0942656,0.0779531,0.0457031,0.0445469
4.60294144e-02,0.0939375,0.0785781,0.0455156,0.0448672
4.60294148e-02,0.0935,0.0797656,0.0452969,0.0450312
4.60294152e-02,0.0940156,0.0815937,0.0442109,0.0451797
4.60294156e-02,0.0943281,0.0810625,0.0439531,0.0454375
4.60294160e-02,0.0940781,0.0799844,0.0442656,0.0455547
4.60294164e-02,0.0940156,0.0810469,0.0440781,0.0452578
4.60294168e-02,0.0951094,0.0797656,0.0440234,0.0452891
4.60294172e-02,0.0951406,0.08075,0.0440938,0.0448438
4.60294176e-02,0.0950625,0.0809062,0.0443438,0.0445
4.60294180e-02,0.0949062,0.0809531,0.0440625,0.0441797
4.60294184e-02,0.0937031,0.0808906,0.0439063,0.0439219
4.60294188e-02,0.0931094,0.0819687,0.0441641,0.0427891
4.60294192e-02,0.0949219,0.0805469,0.0437344,0.0427813
4.60294196e-02,0.0952656,0.0791719,0.0445938,0.0421172
4.60294200e-02,0.0938906,0.0787187,0.0449297,0.0425703
4.60294204e-02,0.0943281,0.0792969,0.0448047,0.0415391
4.60294208e-02,0.0953281,0.0780156,0.0449922,0.041875
4.60294212e-02,0.0938438,0.0783906,0.0450156,0.0418438
4.60294216e-02,0.0930312,0.078875,0.0450312,0.0416797
4.60294220e-02,0.0936094,0.0783125,0.0452266,0.0424219
4.60294224e-02,0.0945,0.07775,0.0451484,0.0430312
4.60294228e-02,0.0937344,0.0785312,0.0458281,0.0432266
4.60294232e-02,0.0956406,0.0792031,0.0454219,0.0440938
4.60294236e-02,0.0940156,0.0790937,0.0455703,0.043875
4.60294240e-02,0.0930625,0.0794375,0.0453359,0.0444375
4.60294244e-02,0.0924687,0.0793281,0.0453047,0.0446875
4.60294248e-02,0.0945781,0.0793437,0.0449141,0.0453125
4.60294252e-02,0.0935312,0.0801875,0.04475,0.0455938
4.60294256e-02,0.0932969,0.0795469,0.0448594,0.0453359
4.60294260e-02,0.0939531,0.0796719,0.0453672,0.0450312
4.60294264e-02,0.0941875,0.0784062,0.0445,0.0450078
4.60294268e-02,0.0936562,0.0789062,0.0449141,0.0448828
4.60294272e-02,0.0942812,0.0797812,0.0443047,0.0439531
4.60294276e-02,0.0941719,0.0812969,0.0440156,0.0439063
4.60294280e-02,0.0945469,0.080375,0.0436563,0.0435703
4.60294284e-02,0.0949687,0.0804375,0.0435234,0.0426875
4.60294288e-02,0.0929219,0.0807344,0.0438125,0.0428203
4.60294292e-02,0.0947969,0.0788125,0.0445,0.0426953
4.60294296e-02,0.0944844,0.0777344,0.0442656,0.0427109
4.60294300e-02,0.09475,0.0793594,0.0449375,0.0417891
4.60294304e-02,0.0938906,0.0795,0.0454844,0.0422266
4.60294308e-02,0.0945938,0.0790781,0.0452422,0.0415
4.60294312e-02,0.0952656,0.0788594,0.0455391,0.0420234
4.60294316e-02,0.0940469,0.0784844,0.0448672,0.042
4.60294320e-02,0.0936875,0.079,0.0459766,0.0428594
4.60294324e-02,0.0950625,0.0791719,0.0459844,0.0438906
4.60294328e-02,0.0922344,0.07875,0.0460859,0.0447266
4.60294332e-02,0.0923594,0.0799844,0.0457188,0.0439531
4.60294336e-02,0.0933438,0.0792187,0.0454453,0.0446328
4.60294340e-02,0.0947812,0.0786719,0.0452109,0.0458906
4.60294344e-02,0.0933281,0.078125,0.0446797,0.0458828
4.60294348e-02,0.093,0.0787187,0.0444609,0.0456563
4.60294352e-02,0.0934844,0.079125,0.0445391,0.0462422
4.60294356e-02,0.0938594,0.0786875,0.0446016,0.0464453
4.60294360e-02,0.0937031,0.0793906,0.0441875,0.0462344
4.60294364e-02,0.094,0.0800312,0.0445938,0.0461016
4.60294368e-02,0.093625,0.0812344,0.044625,0.0453984
4.60294372e-02,0.0930469,0.0810625,0.0445391,0.0450547
4.60294376e-02,0.0930469,0.080375,0.0441953,0.0443359
4.60294380e-02,0.094375,0.079375,0.0440234,0.0434219
4.60294384e-02,0.0953438,0.0790469,0.0446953,0.0430312
4.60294388e-02,0.0938438,0.08075,0.0454531,0.0432422
4.60294392e-02,0.094125,0.0788125,0.0450078,0.0430156
4.60294396e-02,0.0952031,0.0779062,0.0450547,0.0419687
4.60294400e-02,0.0940938,0.0771406,0.0449766,0.0423438
4.60294404e-02,0.0953281,0.0786094,0.0454531,0.0424141
4.60294408e-02,0.0949844,0.0793281,0.0454531,0.0427734
4.60294412e-02,0.0949219,0.0783281,0.0455156,0.0422969
4.60294416e-02,0.0958281,0.0797656,0.0460391,0.0432422
4.60294420e-02,0.0940625,0.0785,0.0463828,0.0435078
4.60294424e-02,0.0948438,0.0780312,0.0463516,0.0435312
4.60294428e-02,0.0950312,0.0789531,0.0467812,0.0440859
4.60294432e-02,0.0948438,0.0791406,0.0461719,0.0446406
4.60294436e-02,0.0944062,0.0786719,0.0454922,0.0458359
4.60294440e-02,0.0952656,0.0786719,0.0453828,0.0455703
4.60294444e-02,0.0940469,0.0805937,0.045,0.0460625
4.60294448e-02,0.0937031,0.0802812,0.0456328,0.0462188
4.60294452e-02,0.0935,0.0801875,0.0454688,0.0468984
4.60294456e-02,0.0940938,0.0814219,0.0444531,0.0469063
4.60294460e-02,0.0932812,0.0808594,0.0442188,0.0460312
4.60294464e-02,0.0944219,0.0817969,0.0441484,0.046125
4.60294468e-02,0.0930938,0.081125,0.0442969,0.0450078
4.60294472e-02,0.0937656,0.0808437,0.0445469,0.0449609
4.60294476e-02,0.095125,0.0807187,0.0438984,0.0445781
4.60294480e-02,0.0939531,0.0802187,0.0444844,0.0438125
4.60294484e-02,0.0935938,0.0812344,0.0445625,0.0430781
4.60294488e-02,0.094875,0.0796094,0.0448203,0.0421875
4.60294492e-02,0.0956094,0.0786719,0.0449844,0.0422734
4.60294496e-02,0.0949844,0.0798594,0.0449766,0.0422031
4.60294500e-02,0.0939062,0.0794375,0.0454922,0.0419766
4.60294504e-02,0.0944531,0.0784062,0.0451484,0.0420313
4.60294508e-02,0.0946875,0.0796875,0.0456016,0.0427891
4.60294512e-02,0.0942031,0.0800625,0.0456797,0.0423281
4.60294516e-02,0.0944219,0.0791875,0.0458203,0.0430156
