Model,DPO3034
Firmware Version,2.16

Point Format,Y,,,Point Format,Y
Horizontal Units,S,,,Horizontal Units,S
Horizontal Scale,0.004,,,Horizontal Scale,0.004
Sample Interval,4e-05,,,Sample Interval,4e-05
Record Length,1000,,,Record Length,1000
Gating,0.0% to 100.0%,0.0% to 100.0%,,Gating,0.0% to 100.0%
Probe Attenuation,1,1,,Probe Attenuation,1
Vertical Units,V,V,,Vertical Units,V
Vertical Offset,0,0,,Vertical Offset,0
Vertical Scale,2,0.5,,Vertical Scale,1
Label,,,,Label,
TIME,CH1,CH2,,TIME,REF1
4.800e-03,7.56,2.32,,4.800e-03,2.32
4.840e-03,7.64,2.3,,4.840e-03,2.3
4.880e-03,7.48,2.34,,4.880e-03,2.34
4.920e-03,7.64,2.4,,4.920e-03,2.4
4.960e-03,7.64,2.36,,4.960e-03,2.36
5.000e-03,7.56,2.34,,5.000e-03,2.34
5.040e-03,7.64,2.34,,5.040e-03,2.34
5.080e-03,7.56,2.38,,5.080e-03,2.38
5.120e-03,7.48,2.36,,5.120e-03,2.36
5.160e-03,7.56,2.36,,5.160e-03,2.36
5.200e-03,7.56,2.36,,5.200e-03,2.36
5.240e-03,7.48,2.38,,5.240e-03,2.38
5.280e-03,7.48,2.36,,5.280e-03,2.36
5.320e-03,7.56,2.36,,5.320e-03,2.36
5.360e-03,7.56,2.38,,5.360e-03,2.38
5.400e-03,7.56,2.36,,5.400e-03,2.36
5.440e-03,7.64,2.36,,5.440e-03,2.36
5.480e-03,7.64,2.36,,5.480e-03,2.36
5.520e-03,7.48,2.36,,5.520e-03,2.36
5.560e-03,7.56,2.38,,5.560e-03,2.38
5.600e-03,7.48,2.38,,5.600e-03,2.38
5.640e-03,7.48,2.36,,5.640e-03,2.36
5.680e-03,7.64,2.38,,5.680e-03,2.38
5.720e-03,7.48,2.36,,5.720e-03,2.36
5.760e-03,7.72,2.38,,5.760e-03,2.38
5.800e-03,7.4,2.38,,5.800e-03,2.38
5.840e-03,7.56,2.36,,5.840e-03,2.36
5.880e-03,7.56,2.38,,5.880e-03,2.38
5.920e-03,7.56,2.36,,5.920e-03,2.36
5.960e-03,7.56,2.38,,5.960e-03,2.38
6.000e-03,7.48,2.34,,6.000e-03,2.34
6.040e-03,7.48,2.36,,6.040e-03,2.36
6.080e-03,7.64,2.4,,6.080e-03,2.4
6.120e-03,7.64,2.38,,6.120e-03,2.38
6.160e-03,7.48,2.36,,6.160e-03,2.36
6.200e-03,7.56,2.42,,6.200e-03,2.42
6.240e-03,7.64,2.38,,6.240e-03,2.38
6.280e-03,7.56,2.4,,6.280e-03,2.4
6.320e-03,7.56,2.38,,6.320e-03,2.38
6.360e-03,7.64,2.4,,6.360e-03,2.4
6.400e-03,7.56,2.42,,6.400e-03,2.42
6.440e-03,7.56,2.38,,6.440e-03,2.38
6.480e-03,7.64,2.5,,6.480e-03,2.5
6.520e-03,7.48,2.36,,6.520e-03,2.36
6.560e-03,7.56,2.42,,6.560e-03,2.42
6.600e-03,7.64,2.38,,6.600e-03,2.38
6.640e-03,7.4,2.4,,6.640e-03,2.4
6.680e-03,7.48,2.38,,6.680e-03,2.38
6.720e-03,7.72,2.34,,6.720e-03,2.34
