Model,DPO3034
Firmware Version,2.16

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,4e-05,,,
Sample Interval,4e-10,,,
Record Length,1e+06,,,
Gating,47.499900% to 52.500%,47.499900% to 52.500%,47.499900% to 52.500%,47.499900% to 52.500%
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,0.1,0.1,0.02,0.02
Label,,,,
TIME,CH1,CH2,CH3,CH4
-3.660000e-07,0.288,0.204,0.0104,0.012
-3.656000e-07,0.28,0.196,0.0088,0.0112
-3.652000e-07,0.288,0.196,0.0088,0.0096
-3.648000e-07,0.284,0.2,0.0096,0.0088
-3.644000e-07,0.284,0.192,0.0088,0.0064
-3.640000e-07,0.28,0.196,0.0072,0.0056
-3.636000e-07,0.28,0.192,0.0064,0.0048
-3.632000e-07,0.28,0.192,0.0064,0.0032
-3.628000e-07,0.276,0.192,0.0048,0.0016
-3.624000e-07,0.28,0.192,0.0024,0.0032
-3.620000e-07,0.284,0.188,0.0024,0.0024
-3.616000e-07,0.288,0.184,0.0016,0.0016
-3.612000e-07,0.28,0.188,0.0016,0.0024
-3.608000e-07,0.276,0.188,0.0024,0.0024
-3.604000e-07,0.284,0.18,0.0016,0.0016
-3.600000e-07,0.292,0.18,0.0016,0.0032
-3.596000e-07,0.28,0.188,0.0032,0.0056
-3.592000e-07,0.284,0.192,0.004,0.0064
-3.588000e-07,0.292,0.192,0.0056,0.0072
-3.584000e-07,0.288,0.2,0.0064,0.0096
-3.580000e-07,0.284,0.2,0.0064,0.0096
-3.576000e-07,0.288,0.196,0.0096,0.0104
-3.572000e-07,0.288,0.196,0.0104,0.0128
-3.568000e-07,0.292,0.204,0.0112,0.0136
-3.564000e-07,0.288,0.208,0.0112,0.012
-3.560000e-07,0.292,0.2,0.0112,0.0128
-3.556000e-07,0.28,0.204,0.0104,0.012
-3.552000e-07,0.284,0.212,0.0104,0.0112
-3.548000e-07,0.292,0.204,0.0088,0.0104
-3.544000e-07,0.288,0.208,0.0088,0.0104
-3.540000e-07,0.28,0.2,0.008,0.008
-3.536000e-07,0.284,0.192,0.008,0.0072
-3.532000e-07,0.28,0.188,0.0072,0.0064
-3.528000e-07,0.288,0.184,0.0064,0.0064
-3.524000e-07,0.284,0.192,0.0064,0.0048
-3.520000e-07,0.284,0.188,0.004,0.0024
-3.516000e-07,0.28,0.188,0.0032,0.0032
-3.512000e-07,0.288,0.184,0.0032,0.0032
-3.508000e-07,0.288,0.184,0.0024,0.0032
-3.504000e-07,0.288,0.184,0.0024,0.0032
-3.500000e-07,0.288,0.184,0.0024,0.0032
-3.496000e-07,0.292,0.184,0.004,0.0056
-3.492000e-07,0.296,0.184,0.0048,0.0064
-3.488000e-07,0.292,0.192,0.0056,0.0088
-3.484000e-07,0.296,0.196,0.0064,0.0096
-3.480000e-07,0.3,0.208,0.0088,0.0096
-3.476000e-07,0.304,0.204,0.0104,0.0104
-3.472000e-07,0.296,0.204,0.0096,0.0128
-3.468000e-07,0.296,0.208,0.0104,0.012
-3.464000e-07,0.292,0.216,0.0112,0.0144
-3.460000e-07,0.292,0.204,0.012,0.0152
-3.456000e-07,0.3,0.208,0.0112,0.0136
-3.452000e-07,0.296,0.204,0.0112,0.012
-3.448000e-07,0.292,0.196,0.012,0.0136
-3.444000e-07,0.288,0.196,0.0112,0.012
-3.440000e-07,0.288,0.188,0.0104,0.012
-3.436000e-07,0.284,0.188,0.0112,0.0104
-3.432000e-07,0.288,0.184,0.0096,0.0104
-3.428000e-07,0.292,0.192,0.0088,0.0088
-3.424000e-07,0.288,0.18,0.008,0.008
-3.420000e-07,0.288,0.176,0.008,0.008
-3.416000e-07,0.288,0.176,0.008,0.0056
-3.412000e-07,0.284,0.18,0.0072,0.0064
-3.408000e-07,0.292,0.176,0.0056,0.0064
-3.404000e-07,0.292,0.18,0.0048,0.0064
-3.400000e-07,0.296,0.188,0.0048,0.0064
-3.396000e-07,0.3,0.192,0.0064,0.0056
-3.392000e-07,0.292,0.196,0.0072,0.0064
-3.388000e-07,0.3,0.2,0.0088,0.0096
-3.384000e-07,0.304,0.204,0.0096,0.0104
-3.380000e-07,0.296,0.208,0.0096,0.0104
-3.376000e-07,0.296,0.212,0.0104,0.0128
-3.372000e-07,0.3,0.216,0.0104,0.0128
-3.368000e-07,0.3,0.216,0.012,0.0128
-3.364000e-07,0.292,0.208,0.012,0.0128
-3.360000e-07,0.296,0.208,0.0112,0.0136
-3.356000e-07,0.292,0.208,0.0112,0.0136
-3.352000e-07,0.3,0.2,0.0128,0.0136
-3.348000e-07,0.288,0.196,0.0128,0.0144
-3.344000e-07,0.296,0.196,0.012,0.0136
-3.340000e-07,0.296,0.192,0.0104,0.012
-3.336000e-07,0.292,0.188,0.0104,0.0112
-3.332000e-07,0.292,0.184,0.0104,0.0104
-3.328000e-07,0.292,0.184,0.0096,0.0112
-3.324000e-07,0.288,0.184,0.0088,0.0096
-3.320000e-07,0.284,0.188,0.008,0.0088
-3.316000e-07,0.292,0.176,0.0072,0.0088
-3.312000e-07,0.296,0.184,0.0072,0.008
-3.308000e-07,0.288,0.188,0.0056,0.0064
-3.304000e-07,0.288,0.192,0.0056,0.0072
-3.300000e-07,0.292,0.188,0.0064,0.0088
-3.296000e-07,0.288,0.184,0.0072,0.0072
-3.292000e-07,0.292,0.2,0.008,0.008
-3.288000e-07,0.296,0.204,0.0088,0.0072
-3.284000e-07,0.292,0.204,0.0088,0.008
-3.280000e-07,0.292,0.212,0.0096,0.0088
-3.276000e-07,0.3,0.216,0.0088,0.0104
-3.272000e-07,0.292,0.216,0.0112,0.0104
-3.268000e-07,0.296,0.22,0.0104,0.012
-3.264000e-07,0.296,0.216,0.0104,0.012
-3.260000e-07,0.292,0.212,0.0112,0.0128
-3.256000e-07,0.292,0.212,0.012,0.0136
-3.252000e-07,0.292,0.208,0.0112,0.0144
